merchant_name,day,cashback,normalized_cashback,category
1С Интерес,2022-05-23 00:00:00,660.37,-0.26897798917629695,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-24 00:00:00,600.96,-0.4155011738656711,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-25 00:00:00,1089.79,0.7901027374574525,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-26 00:00:00,1447.69,1.6727933249061486,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-27 00:00:00,1517.56,1.8451140607123522,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-28 00:00:00,1198.0,1.0569816099576577,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-29 00:00:00,1145.85,0.9283638001352224,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-30 00:00:00,933.73,0.40521116697060305,Различные магазины и специальные розничные магазины
1С Интерес,2022-05-31 00:00:00,817.12,0.11761533181443529,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-01 00:00:00,617.43,-0.3748811292295159,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-02 00:00:00,672.25,-0.2396782848485783,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-03 00:00:00,1036.57,0.6588459812014603,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-04 00:00:00,1559.35,1.9481809499257665,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-05 00:00:00,793.17,0.058547325194160615,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-06 00:00:00,497.54,-0.6705664450418212,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-07 00:00:00,939.54,0.41954039947431043,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-08 00:00:00,697.07,-0.17846459281036464,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-09 00:00:00,760.18,-0.022816079332054758,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-10 00:00:00,834.15,0.15961650729432147,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-11 00:00:00,1213.2,1.094469447144638,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-12 00:00:00,898.32,0.31787930415540805,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-13 00:00:00,540.06,-0.5656991531214007,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-14 00:00:00,548.09,-0.5458947233443314,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-15 00:00:00,767.01,-0.005971215648694523,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-16 00:00:00,869.85,0.247663598582163,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-17 00:00:00,850.66,0.2003352041336005,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-18 00:00:00,1006.6,0.5849308180110794,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-19 00:00:00,932.38,0.4018816551151804,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-20 00:00:00,863.41,0.23178059387925815,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-21 00:00:00,438.63,-0.81585647719215,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-22 00:00:00,784.13,0.036251927288219916,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-23 00:00:00,587.99,-0.44748915072850876,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-24 00:00:00,713.32,-0.1383871352913892,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-25 00:00:00,694.76,-0.18416175754075453,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-26 00:00:00,268.06,-1.236534134362097,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-27 00:00:00,512.37,-0.6339911407337347,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-28 00:00:00,927.16,0.3890075426075464,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-29 00:00:00,257.05,-1.2636881532718767,Различные магазины и специальные розничные магазины
1С Интерес,2022-06-30 00:00:00,776.48,0.017384693440825383,Различные магазины и специальные розничные магазины
2MOOD,2022-10-05 00:00:00,1051.13,-0.07730627191501148,Готовая женская одежда
2MOOD,2022-10-06 00:00:00,1291.23,0.29239664544013266,Готовая женская одежда
2MOOD,2022-10-07 00:00:00,685.22,-0.6407298224748652,Готовая женская одежда
2MOOD,2022-10-08 00:00:00,795.87,-0.47035236389366275,Готовая женская одежда
2MOOD,2022-10-09 00:00:00,1034.25,-0.10329788059870526,Готовая женская одежда
2MOOD,2022-10-10 00:00:00,837.77,-0.40583527835771716,Готовая женская одежда
2MOOD,2022-10-11 00:00:00,1302.75,0.31013499449440696,Готовая женская одежда
2MOOD,2022-10-12 00:00:00,2081.98,1.5099834088661233,Готовая женская одежда
2MOOD,2022-10-13 00:00:00,1001.88,-0.15314079369652292,Готовая женская одежда
2MOOD,2022-10-14 00:00:00,1181.2,0.12297385495039291,Готовая женская одежда
2MOOD,2022-10-15 00:00:00,3474.96,3.654876244423678,Готовая женская одежда
2MOOD,2022-10-16 00:00:00,2196.56,1.6864122313174035,Готовая женская одежда
2MOOD,2022-11-28 00:00:00,1269.67,0.2591988324531402,Готовая женская одежда
2MOOD,2022-11-29 00:00:00,974.96,-0.1945918663129347,Готовая женская одежда
2MOOD,2022-11-30 00:00:00,1228.04,0.19509748947315395,Готовая женская одежда
2MOOD,2022-12-01 00:00:00,381.85,-1.1078550787765316,Готовая женская одежда
2MOOD,2022-12-02 00:00:00,1257.46,0.24039803020030254,Готовая женская одежда
2MOOD,2022-12-03 00:00:00,1593.29,0.757504780451773,Готовая женская одежда
2MOOD,2022-12-04 00:00:00,1852.22,1.1562018916169856,Готовая женская одежда
2MOOD,2022-12-05 00:00:00,280.04,-1.2646208181181695,Готовая женская одежда
2MOOD,2022-12-06 00:00:00,563.12,-0.8287378450032414,Готовая женская одежда
2MOOD,2022-12-07 00:00:00,213.54,-1.3670166698637636,Готовая женская одежда
2MOOD,2022-12-08 00:00:00,880.72,-0.33970141621526206,Готовая женская одежда
2MOOD,2022-12-09 00:00:00,940.75,-0.24726798794025456,Готовая женская одежда
2MOOD,2022-12-10 00:00:00,1417.84,0.4873491084402775,Готовая женская одежда
2MOOD,2022-12-11 00:00:00,733.84,-0.5658653666572595,Готовая женская одежда
2MOOD,2022-12-12 00:00:00,676.47,-0.6542029608624433,Готовая женская одежда
2MOOD,2022-12-13 00:00:00,1041.63,-0.0919342507358106,Готовая женская одежда
2MOOD,2022-12-14 00:00:00,1019.07,-0.1266718509670979,Готовая женская одежда
2MOOD,2022-12-15 00:00:00,1315.16,0.32924375419610363,Готовая женская одежда
2MOOD,2022-12-16 00:00:00,627.87,-0.7290366209351631,Готовая женская одежда
2MOOD,2022-12-17 00:00:00,2310.97,1.8625792899371536,Готовая женская одежда
2MOOD,2022-12-18 00:00:00,1665.56,0.8687852045969471,Готовая женская одежда
